"","Area","Beds","Full Baths","Half Baths","Locality","Lot Size","Price"
"0","","","","","Rock Springs, WY 82901","","$725,000 "
"1","","4","4","","Rock Springs, WY 82901","0.21 Acres","$452,900 "
"2","3,076","4","3","1","Rock Springs, WY 82901","Under 1/2 Acre, ","$379,900 "
"3","3,154","5","3","","Rock Springs, WY 82901","","$379,000 "
"4","3,236","5","3","","Rock Springs, WY 82901","0.34 Acres","$349,900 "
"5","2,688","4","3","","Rock Springs, WY 82901","Under 1/2 Acre, ","$330,000 "
"6","8,263","4","35","","Rock Springs, WY 82901","","$279,900 "
"7","1,172","3","3","","Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000 "
"8","1,932","4","2","","Rock Springs, WY 82901","0.27 Acres","$252,900 "
"9","","3","2","1","Rock Springs, WY 82901","0.16 Acres","$219,900 "
"10","1,344","3","2","","Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000 "